keep,co-correlated
cluster,NA
subject_id,NA
how_many_persons_live_in_your_home_including_both_adults_and_children,NA
how_many_children_under_18_years_of_age_live_in_your_home,NA
age,NA
sex,NA
sysbpavg,NA
diabpavg,NA
bmi_final,NA
pulseavg,NA
bodyfat_pcnt,NA
per_kcal_fiber_tnfs,NA
hei_asa24_totalscore,NA
fecal_calprotectin,NA
fecal_mpo,NA
fecal_ph,NA
plasma_lbp_bd1,NA
hei_ffq_totalscore,NA
dt_p184,NA
dt_ret,NA
dt_atad,NA
dt_folac,NA
dt_vb12,NA
dt_b12ad,NA
dt_caffn,NA
dt_theo,NA
peonidin,NA
eriodictyl,NA
gi,NA
f_juice,NA
v_starchy_other,NA
g_whole,NA
pf_curedmeat,NA
pf_organ,NA
pf_poult,NA
pf_seafd_low,NA
pf_eggs,NA
pf_nutsds,NA
toctra,NA
toctrb,NA
ergcal,NA
vitk1d,NA
mk4,NA
f15d1,NA
f24d1c,NA
f18d2i,NA
f18d3i,NA
f22d1t,NA
f18d2tt,NA
phystr,NA
betn_c,NA
coumestrol,NA
biochanin_a,NA
total_vitd,NA
total_vitc,NA
fluidmilk_servings,NA
altmilk_servings,NA
crp_bd1,NA
wbc_bd1,NA
pd_whole_tree_fat,NA
pd_whole_tree_protein,NA
st_wt,NA
caff_total,NA
mois,NA
dheas_bd1,NA
hba1c_bd1,NA
sysbpavgv2,NA
diabpavgv2,NA
chol_bd1,NA
hdl_bd1,NA
ur_cort_ug_gcreat,NA
ur_epi_ug_gcreat,NA
ur_nepi_ug_gcreat,NA
allo_load,NA
alc,NA
time_mod,NA
time_vig,NA
pulsepavg_qc,NA
vitamind_bd1,NA
wheaton_score,NA
parvo_kcalday0,NA
theo,NA
ret,NA
bcar,NA
acar,NA
cryp,NA
calc_total,NA
iron_total,NA
magn_total,NA
zinc_total,NA
vc_total,NA
vb1_total,NA
vb2_total,NA
vb6_total,NA
fa_total,NA
vb12_total,NA
vara_total,NA
lyco_total,NA
atoc_total,NA
vk_total,NA
chole_total,NA
